problem,algorithm,layer,depolarizing_noise,thermal_relaxation_noise,relative_performance
Partition,WS-Init-QAOA,2,1.0,1.0,0.9725854064314268
Partition,WS-Init-QAOA,3,0.0,0.0,0.9956477761934996
Partition,WS-Init-QAOA,3,0.0,0.25,0.988945614948359
Partition,WS-Init-QAOA,3,0.0,0.5,0.9860857404995725
Partition,WS-Init-QAOA,3,0.0,0.75,0.985996361097997
Partition,WS-Init-QAOA,3,0.0,1.0,0.9871240149125052
Partition,WS-Init-QAOA,3,0.25,0.0,0.9856543647475956
Partition,WS-Init-QAOA,3,0.25,0.25,0.985080557372453
Partition,WS-Init-QAOA,3,0.25,0.5,0.9835608199417633
Partition,WS-Init-QAOA,3,0.25,0.75,0.9818137809455825
Partition,WS-Init-QAOA,3,0.25,1.0,0.9807366636275902
Partition,WS-Init-QAOA,3,0.5,0.0,0.9859745890865084
Partition,WS-Init-QAOA,3,0.5,0.25,0.9842376326012796
Partition,WS-Init-QAOA,3,0.5,0.5,0.9800623937158666
Partition,WS-Init-QAOA,3,0.5,0.75,0.9768105584050367
Partition,WS-Init-QAOA,3,0.5,1.0,0.97940561680541
Partition,WS-Init-QAOA,3,0.75,0.0,0.9825066934664509
Partition,WS-Init-QAOA,3,0.75,0.25,0.9812443302014625
Partition,WS-Init-QAOA,3,0.75,0.5,0.9765634970010194
Partition,WS-Init-QAOA,3,0.75,0.75,0.9769413659105621
Partition,WS-Init-QAOA,3,0.75,1.0,0.9739906649665437
Partition,WS-Init-QAOA,3,1.0,0.0,0.9804762399605825
Partition,WS-Init-QAOA,3,1.0,0.25,0.9794301707858857
Partition,WS-Init-QAOA,3,1.0,0.5,0.9754999039772692
Partition,WS-Init-QAOA,3,1.0,0.75,0.9753310623890737
Partition,WS-Init-QAOA,3,1.0,1.0,0.9716489692173076
Partition,RQAOA,2,0.0,0.0,1.0133994321787938
Partition,RQAOA,2,0.0,0.25,1.0182232389134551
Partition,RQAOA,2,0.0,0.5,1.0114433379928542
Partition,RQAOA,2,0.0,0.75,1.0116975273247981
Partition,RQAOA,2,0.0,1.0,1.0127713013196837
Partition,RQAOA,2,0.25,0.0,1.018527759008663
Partition,RQAOA,2,0.25,0.25,1.0094991798786503
Partition,RQAOA,2,0.25,0.5,1.0097430722806562
Partition,RQAOA,2,0.25,0.75,1.007987717777559
Partition,RQAOA,2,0.25,1.0,1.0107726543503637
Partition,RQAOA,2,0.5,0.0,1.010290746042305
Partition,RQAOA,2,0.5,0.25,1.013317914084909
Partition,RQAOA,2,0.5,0.5,1.0099780241341347
Partition,RQAOA,2,0.5,0.75,1.0111676746931206
Partition,RQAOA,2,0.5,1.0,1.0115185174966936
Partition,RQAOA,2,0.75,0.0,1.0180831886079202
Partition,RQAOA,2,0.75,0.25,1.0138674137617096
Partition,RQAOA,2,0.75,0.5,1.0146496332698747
Partition,RQAOA,2,0.75,0.75,1.0145422795317087
Partition,RQAOA,2,0.75,1.0,1.0104580012511937
Partition,RQAOA,2,1.0,0.0,1.0125004315620865
Partition,RQAOA,2,1.0,0.25,1.017063405620923
Partition,RQAOA,2,1.0,0.5,1.007424715937822
Partition,RQAOA,2,1.0,0.75,1.0059121826305935
Partition,RQAOA,2,1.0,1.0,1.0139260265220669
Partition,RQAOA,3,0.0,0.0,1.003038431540123
Partition,RQAOA,3,0.0,0.25,1.003875048144144
Partition,RQAOA,3,0.0,0.5,1.0126872008801484
Partition,RQAOA,3,0.0,0.75,1.0051430693808947
Partition,RQAOA,3,0.0,1.0,1.0002895203528832
Partition,RQAOA,3,0.25,0.0,1.0030550154101778
Partition,RQAOA,3,0.25,0.25,1.0036402428078466
Partition,RQAOA,3,0.25,0.5,1.006123345470433
Partition,RQAOA,3,0.25,0.75,1.0058057343698672
Partition,RQAOA,3,0.25,1.0,1.0096557647407802
Partition,RQAOA,3,0.5,0.0,1.0051744405429754
Partition,RQAOA,3,0.5,0.25,1.009318242220334
Partition,RQAOA,3,0.5,0.5,1.0116313555603955
Partition,RQAOA,3,0.5,0.75,1.0155429771411475
Partition,RQAOA,3,0.5,1.0,1.0061426647285017
Partition,RQAOA,3,0.75,0.0,1.0059558144584642
Partition,RQAOA,3,0.75,0.25,1.008343600750142
Partition,RQAOA,3,0.75,0.5,1.006703979515304
Partition,RQAOA,3,0.75,0.75,1.006296049040944
Partition,RQAOA,3,0.75,1.0,1.0150993778039021
Partition,RQAOA,3,1.0,0.0,1.004437300015578
Partition,RQAOA,3,1.0,0.25,1.0055290482360077
Partition,RQAOA,3,1.0,0.5,1.0094948961259804
Partition,RQAOA,3,1.0,0.75,1.0090733552964157
Partition,RQAOA,3,1.0,1.0,1.006064589945212
Vertex Cover,QAOA,2,0.0,0.0,1.0690968899541373
Vertex Cover,QAOA,2,0.0,0.25,1.0745879480199025
Vertex Cover,QAOA,2,0.0,0.5,1.0697338797752771
Vertex Cover,QAOA,2,0.0,0.75,1.0596781350989406
Vertex Cover,QAOA,2,0.0,1.0,1.0635016504797872
Vertex Cover,QAOA,2,0.25,0.0,1.076445791697967
Vertex Cover,QAOA,2,0.25,0.25,1.0685892781402189
Vertex Cover,QAOA,2,0.25,0.5,1.0629161417273312
Vertex Cover,QAOA,2,0.25,0.75,1.0543293448903783
Vertex Cover,QAOA,2,0.25,1.0,1.0519625202880982
Vertex Cover,QAOA,2,0.5,0.0,1.0700763446462473
Vertex Cover,QAOA,2,0.5,0.25,1.0608600572939926
Vertex Cover,QAOA,2,0.5,0.5,1.0543745614666935
Vertex Cover,QAOA,2,0.5,0.75,1.04906598602984
Vertex Cover,QAOA,2,0.5,1.0,1.043702399837649
Vertex Cover,QAOA,2,0.75,0.0,1.06100249020167
Vertex Cover,QAOA,2,0.75,0.25,1.0653654037652371
Vertex Cover,QAOA,2,0.75,0.5,1.0499483415390818
Vertex Cover,QAOA,2,0.75,0.75,1.0491375686170996
Vertex Cover,QAOA,2,0.75,1.0,1.0379956285758831
Vertex Cover,QAOA,2,1.0,0.0,1.065116546940474
Vertex Cover,QAOA,2,1.0,0.25,1.0572819066412198
Vertex Cover,QAOA,2,1.0,0.5,1.051298387006515
Vertex Cover,QAOA,2,1.0,0.75,1.0430997984478554
Vertex Cover,QAOA,2,1.0,1.0,1.0366608044953054
Vertex Cover,QAOA,3,0.0,0.0,1.0165104905757294
Vertex Cover,QAOA,3,0.0,0.25,1.0082117208803902
Vertex Cover,QAOA,3,0.0,0.5,1.0011754980810958
Vertex Cover,QAOA,3,0.0,0.75,1.004832568707779
Vertex Cover,QAOA,3,0.0,1.0,0.9930736439710404
Vertex Cover,QAOA,3,0.25,0.0,1.0101673418670543
Vertex Cover,QAOA,3,0.25,0.25,1.0074279531765238
Vertex Cover,QAOA,3,0.25,0.5,1.0017946563745626
Vertex Cover,QAOA,3,0.25,0.75,1.0011579769782704
Vertex Cover,QAOA,3,0.25,1.0,0.9911514504214174
Vertex Cover,QAOA,3,0.5,0.0,1.010087676736543
Vertex Cover,QAOA,3,0.5,0.25,1.0050676308263593
